year,drug_name,drug_type,January_sales,February_sales,March_sales,April_sales,May_sales,June_sales,July_sales,August_sales,September_sales,October_sales,November_sales,December_sales,total_Quantity,price,total_price
2020,Paracetamol,Pain reliever,80,96,120,64,72,88,112,104,80,96,144,120,1152,10,11520
2020,Azithromycin,Antibiotic,40,56,64,32,40,48,64,56,48,64,80,72,624,20,12480
2020,Salbutamol,Inhaler,24,32,40,16,24,32,40,32,24,32,40,32,352,15,5280
2020,Metformin,Diabetes,64,80,96,48,56,64,80,72,64,80,96,88,880,5,4400
2020,Losartan,Blood pressure,32,40,48,24,32,40,48,40,32,40,48,40,464,8,3712
2020,Ibuprofen,NSAID,80,96,120,64,72,88,112,104,80,96,144,120,1152,8,9216
2020,Amoxicillin,Antibiotic,40,56,64,32,40,48,64,56,48,64,80,72,624,15,9360
2020,Atorvastatin,Statins,24,32,40,16,24,32,40,32,24,32,40,32,352,20,7040
2020,Ranitidine,H2 blocker,64,80,96,48,56,64,80,72,64,80,96,88,880,10,8800
2020,Metoprolol,Beta blocker,32,40,48,24,32,40,48,40,32,40,48,40,464,12,5568
2020,Lorazepam,Benzodiazepine,80,96,120,64,72,88,112,104,80,96,144,120,1152,18,20736
2020,Clopidogrel,Antiplatelet agent,40,56,64,32,40,48,64,56,48,64,80,72,624,22,13728
2020,Furosemide,Loop diuretic,24,32,40,16,24,32,40,32,24,32,40,32,352,10,3520
2020,Tadalafil,PDE5 inhibitor,64,80,96,48,56,64,80,72,64,80,96,88,880,25,22000
2020,Clozapine,Atypical antipsychotic,32,40,48,24,32,40,48,40,32,40,48,40,464,30,13920
2020,Bupropion,Atypical antidepressant,80,96,120,64,72,88,112,104,80,96,144,120,1152,15,17280
2020,Memantine,NMDA receptor antagonist,40,56,64,32,40,48,64,56,48,64,80,72,624,18,11232
2020,Phenobarbital,Barbiturate,24,32,40,16,24,32,40,32,24,32,40,32,352,10,3520
2020,Montelukast,Leukotriene receptor antagonist,64,80,96,48,56,64,80,72,64,80,96,88,880,8,7040
2020,Celecoxib,NSAID,32,40,48,24,32,40,48,40,32,40,48,40,464,12,5568
2020,Methylphenidate,Stimulant,80,96,120,64,72,88,112,104,80,96,144,120,1152,18,20736
2020,Ondansetron,5-HT3 receptor antagonist,40,56,64,32,40,48,64,56,48,64,80,72,624,10,6240
2020,Varenicline,Nicotinic receptor partial agonist,24,32,40,16,24,32,40,32,24,32,40,32,352,22,7744
2020,Tiotropium,Muscarinic antagonist,64,80,96,48,56,64,80,72,64,80,96,88,880,15,13200
2020,Baclofen,GABA B receptor agonist,32,40,48,24,32,40,48,40,32,40,48,40,464,18,8352
2020,Levothyroxine,Thyroid hormone,80,96,120,64,72,88,112,104,80,96,144,120,1152,5,5760
2020,Risperidone,Atypical antipsychotic,40,56,64,32,40,48,64,56,48,64,80,72,624,30,18720
2020,Warfarin,Vitamin K antagonist,24,32,40,16,24,32,40,32,24,32,40,32,352,8,2816
2020,Fluoxetine,SSRI antidepressant,64,80,96,48,56,64,80,72,64,80,96,88,880,12,10560
2020,Pregabalin,Anticonvulsant,32,40,48,24,32,40,48,40,32,40,48,40,464,20,9280
2020,Mirtazapine,Atypical antidepressant,80,96,120,64,72,88,112,104,80,96,144,120,1152,18,20736
2020,Methotrexate,Chemotherapy agent,40,56,64,32,40,48,64,56,48,64,80,72,624,25,15600
2020,Esomeprazole,Proton-pump inhibitor,24,32,40,16,24,32,40,32,24,32,40,32,352,15,5280
2020,Hydrochlorothiazide,Thiazide diuretic,64,80,96,48,56,64,80,72,64,80,96,88,880,10,8800
2020,Citalopram,SSRI antidepressant,32,40,48,24,32,40,48,40,32,40,48,40,464,12,5568
2020,Lisinopril,ACE inhibitor,80,96,120,64,72,88,112,104,80,96,144,120,1152,8,9216
2020,Metformin,Diabetes,40,56,64,32,40,48,64,56,48,64,80,72,624,5,3120
2020,Losartan,Blood pressure,24,32,40,16,24,32,40,32,24,32,40,32,352,8,2816
2020,Lorazepam,Benzodiazepine,64,80,96,48,56,64,80,72,64,80,96,88,880,18,15840
2020,Ibuprofen,NSAID,32,40,48,24,32,40,48,40,32,40,48,40,464,8,3712
2020,Amoxicillin,Antibiotic,80,96,120,64,72,88,112,104,80,96,144,120,1152,15,17280
2020,Atorvastatin,Statins,40,56,64,32,40,48,64,56,48,64,80,72,624,20,12480
2020,Ranitidine,H2 blocker,24,32,40,16,24,32,40,32,24,32,40,32,352,10,3520
2020,Metoprolol,Beta blocker,64,80,96,48,56,64,80,72,64,80,96,88,880,12,6336
2020,Clopidogrel,Antiplatelet agent,32,40,48,24,32,40,48,40,32,40,48,40,464,22,10112
2020,Furosemide,Loop diuretic,80,96,120,64,72,88,112,104,80,96,144,120,1152,10,11520
2020,Tadalafil,PDE5 inhibitor,40,56,64,32,40,48,64,56,48,64,80,72,624,25,15600
2020,Clozapine,Atypical antipsychotic,24,32,40,16,24,32,40,32,24,32,40,32,352,30,10560
2020,Bupropion,Atypical antidepressant,64,80,96,48,56,64,80,72,64,80,96,88,880,15,9900
2020,Memantine,NMDA receptor antagonist,32,40,48,24,32,40,48,40,32,40,48,40,464,18,8352
2020,Phenobarbital,Barbiturate,80,96,120,64,72,88,112,104,80,96,144,120,1152,10,11520
2020,Montelukast,Leukotriene receptor antagonist,40,56,64,32,40,48,64,56,48,64,80,72,624,8,4992
2020,Celecoxib,NSAID,24,32,40,16,24,32,40,32,24,32,40,32,352,12,4224
2020,Methylphenidate,Stimulant,64,80,96,48,56,64,80,72,64,80,96,88,880,18,15840
2020,Ondansetron,5-HT3 receptor antagonist,32,40,48,24,32,40,48,40,32,40,48,40,464,10,4640
2020,Varenicline,Nicotinic receptor partial agonist,80,96,120,64,72,88,112,104,80,96,144,120,1152,22,25344
2020,Tiotropium,Muscarinic antagonist,40,56,64,32,40,48,64,56,48,64,80,72,624,15,9360
2020,Baclofen,GABA B receptor agonist,24,32,40,16,24,32,40,32,24,32,40,32,352,18,6336
2020,Levothyroxine,Thyroid hormone,64,80,96,48,56,64,80,72,64,80,96,88,880,5,4400
2020,Risperidone,Atypical antipsychotic,32,40,48,24,32,40,48,40,32,40,48,40,464,30,13920
2020,Warfarin,Vitamin K antagonist,80,96,120,64,72,88,112,104,80,96,144,120,1152,8,9216
2020,Fluoxetine,SSRI antidepressant,40,56,64,32,40,48,64,56,48,64,80,72,624,12,7488
2020,Pregabalin,Anticonvulsant,24,32,40,16,24,32,40,32,24,32,40,32,352,20,7040
2020,Mirtazapine,Atypical antidepressant,80,96,120,64,72,88,112,104,80,96,144,120,1152,18,20736
2020,Methotrexate,Chemotherapy agent,40,56,64,32,40,48,64,56,48,64,80,72,624,25,15600
2020,Esomeprazole,Proton-pump inhibitor,24,32,40,16,24,32,40,32,24,32,40,32,352,15,5280
2020,Hydrochlorothiazide,Thiazide diuretic,64,80,96,48,56,64,80,72,64,80,96,88,880,10,8800
2020,Citalopram,SSRI antidepressant,32,40,48,24,32,40,48,40,32,40,48,40,464,12,5568
2020,Lisinopril,ACE inhibitor,80,96,120,64,72,88,112,104,80,96,144,120,1152,8,9216
2021,Paracetamol,Pain reliever,80,96,120,64,72,88,112,104,80,96,144,120,1152,10,11520
2021,Azithromycin,Antibiotic,40,56,64,32,40,48,64,56,48,64,80,72,624,20,12480
2021,Salbutamol,Inhaler,24,32,40,16,24,32,40,32,24,32,40,32,352,15,5280
2021,Metformin,Diabetes,64,80,96,48,56,64,80,72,64,80,96,88,880,5,4400
2021,Losartan,Blood pressure,32,40,48,24,32,40,48,40,32,40,48,40,464,8,3712
2021,Ibuprofen,NSAID,80,96,120,64,72,88,112,104,80,96,144,120,1152,8,9216
2021,Amoxicillin,Antibiotic,40,56,64,32,40,48,64,56,48,64,80,72,624,15,9360
2021,Atorvastatin,Statins,24,32,40,16,24,32,40,32,24,32,40,32,352,20,7040
2021,Ranitidine,H2 blocker,64,80,96,48,56,64,80,72,64,80,96,88,880,10,8800
2021,Metoprolol,Beta blocker,32,40,48,24,32,40,48,40,32,40,48,40,464,12,5568
2021,Lorazepam,Benzodiazepine,80,96,120,64,72,88,112,104,80,96,144,120,1152,18,20736
2021,Clopidogrel,Antiplatelet agent,40,56,64,32,40,48,64,56,48,64,80,72,624,22,13728
2021,Furosemide,Loop diuretic,24,32,40,16,24,32,40,32,24,32,40,32,352,10,3520
2021,Tadalafil,PDE5 inhibitor,64,80,96,48,56,64,80,72,64,80,96,88,880,25,22000
2021,Clozapine,Atypical antipsychotic,32,40,48,24,32,40,48,40,32,40,48,40,464,30,13920
2021,Bupropion,Atypical antidepressant,80,96,120,64,72,88,112,104,80,96,144,120,1152,15,17280
2021,Memantine,NMDA receptor antagonist,40,56,64,32,40,48,64,56,48,64,80,72,624,18,11232
2021,Phenobarbital,Barbiturate,24,32,40,16,24,32,40,32,24,32,40,32,352,10,3520
2021,Montelukast,Leukotriene receptor antagonist,64,80,96,48,56,64,80,72,64,80,96,88,880,8,7040
2021,Celecoxib,NSAID,32,40,48,24,32,40,48,40,32,40,48,40,464,12,5568
2021,Methylphenidate,Stimulant,80,96,120,64,72,88,112,104,80,96,144,120,1152,18,20736
2021,Ondansetron,5-HT3 receptor antagonist,40,56,64,32,40,48,64,56,48,64,80,72,624,10,6240
2021,Varenicline,Nicotinic receptor partial agonist,24,32,40,16,24,32,40,32,24,32,40,32,352,22,7744
2021,Tiotropium,Muscarinic antagonist,64,80,96,48,56,64,80,72,64,80,96,88,880,15,13200
2021,Baclofen,GABA B receptor agonist,32,40,48,24,32,40,48,40,32,40,48,40,464,18,8352
2021,Levothyroxine,Thyroid hormone,80,96,120,64,72,88,112,104,80,96,144,120,1152,5,5760
2021,Risperidone,Atypical antipsychotic,40,56,64,32,40,48,64,56,48,64,80,72,624,30,18720
2021,Warfarin,Vitamin K antagonist,24,32,40,16,24,32,40,32,24,32,40,32,352,8,2816
2021,Fluoxetine,SSRI antidepressant,64,80,96,48,56,64,80,72,64,80,96,88,880,12,10560
2021,Pregabalin,Anticonvulsant,32,40,48,24,32,40,48,40,32,40,48,40,464,20,9280
2021,Mirtazapine,Atypical antidepressant,80,96,120,64,72,88,112,104,80,96,144,120,1152,18,20736
2021,Methotrexate,Chemotherapy agent,40,56,64,32,40,48,64,56,48,64,80,72,624,25,15600
2021,Esomeprazole,Proton-pump inhibitor,24,32,40,16,24,32,40,32,24,32,40,32,352,15,5280
2021,Hydrochlorothiazide,Thiazide diuretic,64,80,96,48,56,64,80,72,64,80,96,88,880,10,8800
2021,Citalopram,SSRI antidepressant,32,40,48,24,32,40,48,40,32,40,48,40,464,12,5568
2021,Lisinopril,ACE inhibitor,80,96,120,64,72,88,112,104,80,96,144,120,1152,8,9216
2021,Metformin,Diabetes,40,56,64,32,40,48,64,56,48,64,80,72,624,5,3120
2021,Losartan,Blood pressure,24,32,40,16,24,32,40,32,24,32,40,32,352,8,2816
2021,Lorazepam,Benzodiazepine,64,80,96,48,56,64,80,72,64,80,96,88,880,18,15840
2021,Ibuprofen,NSAID,32,40,48,24,32,40,48,40,32,40,48,40,464,8,3712
2021,Amoxicillin,Antibiotic,80,96,120,64,72,88,112,104,80,96,144,120,1152,15,17280
2021,Atorvastatin,Statins,40,56,64,32,40,48,64,56,48,64,80,72,624,20,12480
2021,Ranitidine,H2 blocker,24,32,40,16,24,32,40,32,24,32,40,32,352,10,3520
2021,Metoprolol,Beta blocker,64,80,96,48,56,64,80,72,64,80,96,88,880,12,6336
2021,Clopidogrel,Antiplatelet agent,32,40,48,24,32,40,48,40,32,40,48,40,464,22,10112
2021,Furosemide,Loop diuretic,80,96,120,64,72,88,112,104,80,96,144,120,1152,10,11520
2021,Tadalafil,PDE5 inhibitor,40,56,64,32,40,48,64,56,48,64,80,72,624,25,15600
2021,Clozapine,Atypical antipsychotic,24,32,40,16,24,32,40,32,24,32,40,32,352,30,10560
2021,Bupropion,Atypical antidepressant,64,80,96,48,56,64,80,72,64,80,96,88,880,15,9900
2021,Memantine,NMDA receptor antagonist,32,40,48,24,32,40,48,40,32,40,48,40,464,18,8352
2021,Phenobarbital,Barbiturate,80,96,120,64,72,88,112,104,80,96,144,120,1152,10,11520
2021,Montelukast,Leukotriene receptor antagonist,40,56,64,32,40,48,64,56,48,64,80,72,624,8,4992
2021,Celecoxib,NSAID,24,32,40,16,24,32,40,32,24,32,40,32,352,12,4224
2021,Methylphenidate,Stimulant,64,80,96,48,56,64,80,72,64,80,96,88,880,18,15840
2021,Ondansetron,5-HT3 receptor antagonist,32,40,48,24,32,40,48,40,32,40,48,40,464,10,4640
2021,Varenicline,Nicotinic receptor partial agonist,80,96,120,64,72,88,112,104,80,96,144,120,1152,22,25344
2021,Tiotropium,Muscarinic antagonist,40,56,64,32,40,48,64,56,48,64,80,72,624,15,9360
2021,Baclofen,GABA B receptor agonist,24,32,40,16,24,32,40,32,24,32,40,32,352,18,6336
2021,Levothyroxine,Thyroid hormone,64,80,96,48,56,64,80,72,64,80,96,88,880,5,4400
2021,Risperidone,Atypical antipsychotic,32,40,48,24,32,40,48,40,32,40,48,40,464,30,13920
2021,Warfarin,Vitamin K antagonist,80,96,120,64,72,88,112,104,80,96,144,120,1152,8,9216
2021,Fluoxetine,SSRI antidepressant,40,56,64,32,40,48,64,56,48,64,80,72,624,12,7488
2021,Pregabalin,Anticonvulsant,24,32,40,16,24,32,40,32,24,32,40,32,352,20,7040
2021,Mirtazapine,Atypical antidepressant,80,96,120,64,72,88,112,104,80,96,144,120,1152,18,20736
2021,Methotrexate,Chemotherapy agent,40,56,64,32,40,48,64,56,48,64,80,72,624,25,15600
2021,Esomeprazole,Proton-pump inhibitor,24,32,40,16,24,32,40,32,24,32,40,32,352,15,5280
2021,Hydrochlorothiazide,Thiazide diuretic,64,80,96,48,56,64,80,72,64,80,96,88,880,10,8800
2021,Citalopram,SSRI antidepressant,32,40,48,24,32,40,48,40,32,40,48,40,464,12,5568
2021,Lisinopril,ACE inhibitor,80,96,120,64,72,88,112,104,80,96,144,120,1152,8,9216
2022,Paracetamol,Pain reliever,80,96,120,64,72,88,112,104,80,96,144,120,1152,10,11520
2022,Azithromycin,Antibiotic,40,56,64,32,40,48,64,56,48,64,80,72,624,20,12480
2022,Salbutamol,Inhaler,24,32,40,16,24,32,40,32,24,32,40,32,352,15,5280
2022,Metformin,Diabetes,64,80,96,48,56,64,80,72,64,80,96,88,880,5,4400
2022,Losartan,Blood pressure,32,40,48,24,32,40,48,40,32,40,48,40,464,8,3712
2022,Ibuprofen,NSAID,80,96,120,64,72,88,112,104,80,96,144,120,1152,8,9216
2022,Amoxicillin,Antibiotic,40,56,64,32,40,48,64,56,48,64,80,72,624,15,9360
2022,Atorvastatin,Statins,24,32,40,16,24,32,40,32,24,32,40,32,352,20,7040
2022,Ranitidine,H2 blocker,64,80,96,48,56,64,80,72,64,80,96,88,880,10,8800
2022,Metoprolol,Beta blocker,32,40,48,24,32,40,48,40,32,40,48,40,464,12,5568
2022,Lorazepam,Benzodiazepine,80,96,120,64,72,88,112,104,80,96,144,120,1152,18,20736
2022,Clopidogrel,Antiplatelet agent,40,56,64,32,40,48,64,56,48,64,80,72,624,22,13728
2022,Furosemide,Loop diuretic,24,32,40,16,24,32,40,32,24,32,40,32,352,10,3520
2022,Tadalafil,PDE5 inhibitor,64,80,96,48,56,64,80,72,64,80,96,88,880,25,22000
2022,Clozapine,Atypical antipsychotic,32,40,48,24,32,40,48,40,32,40,48,40,464,30,13920
2022,Bupropion,Atypical antidepressant,80,96,120,64,72,88,112,104,80,96,144,120,1152,15,17280
2022,Memantine,NMDA receptor antagonist,40,56,64,32,40,48,64,56,48,64,80,72,624,18,11232
2022,Phenobarbital,Barbiturate,24,32,40,16,24,32,40,32,24,32,40,32,352,10,3520
2022,Montelukast,Leukotriene receptor antagonist,64,80,96,48,56,64,80,72,64,80,96,88,880,8,7040
2022,Celecoxib,NSAID,32,40,48,24,32,40,48,40,32,40,48,40,464,12,5568
2022,Methylphenidate,Stimulant,80,96,120,64,72,88,112,104,80,96,144,120,1152,18,20736
2022,Ondansetron,5-HT3 receptor antagonist,40,56,64,32,40,48,64,56,48,64,80,72,624,10,6240
2022,Varenicline,Nicotinic receptor partial agonist,24,32,40,16,24,32,40,32,24,32,40,32,352,22,7744
2022,Tiotropium,Muscarinic antagonist,64,80,96,48,56,64,80,72,64,80,96,88,880,15,13200
2022,Baclofen,GABA B receptor agonist,32,40,48,24,32,40,48,40,32,40,48,40,464,18,8352
2022,Levothyroxine,Thyroid hormone,80,96,120,64,72,88,112,104,80,96,144,120,1152,5,5760
2022,Risperidone,Atypical antipsychotic,40,56,64,32,40,48,64,56,48,64,80,72,624,30,18720
2022,Warfarin,Vitamin K antagonist,24,32,40,16,24,32,40,32,24,32,40,32,352,8,2816
2022,Fluoxetine,SSRI antidepressant,64,80,96,48,56,64,80,72,64,80,96,88,880,12,10560
2022,Pregabalin,Anticonvulsant,32,40,48,24,32,40,48,40,32,40,48,40,464,20,9280
2022,Mirtazapine,Atypical antidepressant,80,96,120,64,72,88,112,104,80,96,144,120,1152,18,20736
2022,Methotrexate,Chemotherapy agent,40,56,64,32,40,48,64,56,48,64,80,72,624,25,15600
2022,Esomeprazole,Proton-pump inhibitor,24,32,40,16,24,32,40,32,24,32,40,32,352,15,5280
2022,Hydrochlorothiazide,Thiazide diuretic,64,80,96,48,56,64,80,72,64,80,96,88,880,10,8800
2023,Paracetamol,Pain reliever,80,96,120,64,72,88,112,104,80,96,144,120,1152,10,11520
2023,Azithromycin,Antibiotic,40,56,64,32,40,48,64,56,48,64,80,72,624,20,12480
2023,Salbutamol,Inhaler,24,32,40,16,24,32,40,32,24,32,40,32,352,15,5280
2023,Metformin,Diabetes,64,80,96,48,56,64,80,72,64,80,96,88,880,5,4400
2023,Losartan,Blood pressure,32,40,48,24,32,40,48,40,32,40,48,40,464,8,3712
2023,Ibuprofen,NSAID,80,96,120,64,72,88,112,104,80,96,144,120,1152,8,9216
2023,Amoxicillin,Antibiotic,40,56,64,32,40,48,64,56,48,64,80,72,624,15,9360
2023,Atorvastatin,Statins,24,32,40,16,24,32,40,32,24,32,40,32,352,20,7040
2023,Ranitidine,H2 blocker,64,80,96,48,56,64,80,72,64,80,96,88,880,10,8800
2023,Metoprolol,Beta blocker,32,40,48,24,32,40,48,40,32,40,48,40,464,12,5568
2023,Lorazepam,Benzodiazepine,80,96,120,64,72,88,112,104,80,96,144,120,1152,18,20736
2023,Clopidogrel,Antiplatelet agent,40,56,64,32,40,48,64,56,48,64,80,72,624,22,13728
2023,Furosemide,Loop diuretic,24,32,40,16,24,32,40,32,24,32,40,32,352,10,3520
2023,Tadalafil,PDE5 inhibitor,64,80,96,48,56,64,80,72,64,80,96,88,880,25,22000
2023,Clozapine,Atypical antipsychotic,32,40,48,24,32,40,48,40,32,40,48,40,464,30,13920
2023,Bupropion,Atypical antidepressant,80,96,120,64,72,88,112,104,80,96,144,120,1152,15,17280
2023,Memantine,NMDA receptor antagonist,40,56,64,32,40,48,64,56,48,64,80,72,624,18,11232
2023,Phenobarbital,Barbiturate,24,32,40,16,24,32,40,32,24,32,40,32,352,10,3520
2023,Montelukast,Leukotriene receptor antagonist,64,80,96,48,56,64,80,72,64,80,96,88,880,8,7040
2023,Celecoxib,NSAID,32,40,48,24,32,40,48,40,32,40,48,40,464,12,5568
2023,Methylphenidate,Stimulant,80,96,120,64,72,88,112,104,80,96,144,120,1152,18,20736
2023,Ondansetron,5-HT3 receptor antagonist,40,56,64,32,40,48,64,56,48,64,80,72,624,10,6240
2023,Varenicline,Nicotinic receptor partial agonist,24,32,40,16,24,32,40,32,24,32,40,32,352,22,7744
2023,Tiotropium,Muscarinic antagonist,64,80,96,48,56,64,80,72,64,80,96,88,880,15,13200
2023,Baclofen,GABA B receptor agonist,32,40,48,24,32,40,48,40,32,40,48,40,464,18,8352
2023,Levothyroxine,Thyroid hormone,80,96,120,64,72,88,112,104,80,96,144,120,1152,5,5760
2023,Risperidone,Atypical antipsychotic,40,56,64,32,40,48,64,56,48,64,80,72,624,30,18720
2023,Warfarin,Vitamin K antagonist,24,32,40,16,24,32,40,32,24,32,40,32,352,8,2816
2023,Fluoxetine,SSRI antidepressant,64,80,96,48,56,64,80,72,64,80,96,88,880,12,10560
2023,Pregabalin,Anticonvulsant,32,40,48,24,32,40,48,40,32,40,48,40,464,20,9280
2023,Mirtazapine,Atypical antidepressant,80,96,120,64,72,88,112,104,80,96,144,120,1152,18,20736
2023,Methotrexate,Chemotherapy agent,40,56,64,32,40,48,64,56,48,64,80,72,624,25,15600
2023,Esomeprazole,Proton-pump inhibitor,24,32,40,16,24,32,40,32,24,32,40,32,352,15,5280
